filename,doc_type,is_fraud,fraud_type,siret_doc,date_expiration,montant_ht,montant_ttc,degradation,linked_group_id,source_dataset_path
80795315300010_facture_0000.pdf,facture,0,,80795315300010,,64073.79,67597.85,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_facture_0000.pdf
80795315300010_facture_0001.pdf,facture,0,,80795315300010,,96470.03,115764.04,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_facture_0001.pdf
80795315300010_devis_0002.pdf,devis,0,,80795315300010,,83236.90,99884.28,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_devis_0002.pdf
80795315300010_devis_0002.png,devis,0,,80795315300010,,83236.90,99884.28,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_devis_0002.png
80795315300010_devis_0003.pdf,devis,0,,80795315300010,,60911.09,73093.31,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_devis_0003.pdf
80795315300010_devis_0003.png,devis,0,,80795315300010,,60911.09,73093.31,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_devis_0003.png
80795315300010_facture_0004.pdf,facture,0,,80795315300010,,43043.98,51652.78,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_facture_0004.pdf
80795315300010_facture_0004.png,facture,0,,80795315300010,,43043.98,51652.78,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_facture_0004.png
80795315300010_devis_0005.pdf,devis,0,,80795315300010,,129868.20,155841.84,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_devis_0005.pdf
80795315300010_devis_0005.png,devis,0,,80795315300010,,129868.20,155841.84,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_devis_0005.png
80795315300010_facture_0006.pdf,facture,0,,80795315300010,,231934.07,244690.44,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_facture_0006.pdf
80795315300010_facture_0006.png,facture,0,,80795315300010,,231934.07,244690.44,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_facture_0006.png
80795315300010_attestation_urssaf_0007.pdf,attestation_urssaf,0,,80795315300010,2026-09-12,,,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_attestation_urssaf_0007.pdf
80795315300010_attestation_urssaf_0007.png,attestation_urssaf,0,,80795315300010,2026-09-12,,,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_attestation_urssaf_0007.png
80795315300010_devis_0008.pdf,devis,0,,80795315300010,,243530.82,267883.90,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_devis_0008.pdf
80795315300010_devis_0008.png,devis,0,,80795315300010,,243530.82,267883.90,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_devis_0008.png
80795315300010_devis_0009.pdf,devis,0,,80795315300010,,11607.52,13929.02,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_devis_0009.pdf
80795315300010_devis_0009.png,devis,0,,80795315300010,,11607.52,13929.02,scan_degraded,grp_80795315300010,data_generator/output/scans/80795315300010/80795315300010_devis_0009.png
80795315300010_facture_0010.pdf,facture,0,,80795315300010,,59494.73,62766.94,none,grp_80795315300010,data_generator/output/raw/80795315300010/80795315300010_facture_0010.pdf
79219798000016_rib_0011.pdf,rib,0,,79219798000016,,,,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_rib_0011.pdf
79219798000016_attestation_urssaf_0012.pdf,attestation_urssaf,1,attestation_expiree,79219798000016,2025-04-16,,,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_attestation_urssaf_0012.pdf
79219798000016_kbis_0013.pdf,kbis,0,,79219798000016,,,,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_kbis_0013.pdf
79219798000016_facture_0014.pdf,facture,1,montant_altere,79219798000016,,92106.11,113526.74,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_facture_0014.pdf
79219798000016_facture_0014.png,facture,1,montant_altere,79219798000016,,92106.11,113526.74,scan_degraded,grp_79219798000016,data_generator/output/scans/79219798000016/79219798000016_facture_0014.png
79219798000016_facture_0015.pdf,facture,1,montant_altere,79219798000016,,5898.56,8944.65,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_facture_0015.pdf
79219798000016_kbis_0016.pdf,kbis,0,,79219798000016,,,,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_kbis_0016.pdf
79219798000016_facture_0017.pdf,facture,1,montant_altere,79219798000016,,26280.07,29687.75,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_facture_0017.pdf
79219798000016_facture_0017.png,facture,1,montant_altere,79219798000016,,26280.07,29687.75,scan_degraded,grp_79219798000016,data_generator/output/scans/79219798000016/79219798000016_facture_0017.png
79219798000016_facture_0018.pdf,facture,0,,79219798000016,,124157.84,136573.62,none,grp_79219798000016,data_generator/output/raw/79219798000016/79219798000016_facture_0018.pdf
